artist_id,artist_name,bio,portrait_url,nationality,birth_year,death_year,movement,notable_works,wiki_url
vincent-van-gogh,Vincent van Gogh,"Vincent Willem van Gogh was a Dutch Post-Impressionist painter whose expressive brushwork and vivid colors made him a major figure in Western art. His work, including masterpieces like The Starry Night and Sunflowers, reflects his intense emotions, personal struggles, and profound creativity. Though he had a limited following in his lifetime, his style significantly influenced many artists who came after him. ",https://www.vincentvangogh.org/assets/img/van-gogh.jpg,Netherlands,1853,1890,Post-Impressionism,The Bedroom|Self-portraits|Sunflowers|The Starry Night,https://en.wikipedia.org/wiki/Vincent_van_Gogh
claude-monet,Claude Monet,"Oscar-Claude Monet was a French painter and a leader of the Impressionist movement. His work aimed to capture reality, light, and color as he perceived them, and is considered a precursor to modernism. Monet's series, including Water Lilies, Haystacks, and Rouen Cathedral, demonstrated his ability to capture changing atmospheres. He built a Japanese-style garden at Giverny, France, and painted the pond, water lilies, and light at different times of day. ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2X5INZox-EqihkMqIl6bPsh8-UJPM2Dvk7gHtDbvCV05FPTp3-NumNAXuYiNOPVoCoLtBQpn9ogQuNyUSGso0QsLC-7H7QXGkfMoFfJM&s=10,France,1840,1926,Impressionism,Water Lilies|Rouen Cathedral|Haystacks|Woman with a Parasol,https://en.wikipedia.org/wiki/Claude_Monet
pablo-picasso,Pablo Picasso,"Pablo Ruiz Picasso was a Spanish painter, sculptor, printmaker, ceramicist, and theater designer who co-founded Cubism and is considered one of the 20th century's greatest artists. His work, which spanned naturalism, Cubism, and Surrealism, influenced the trajectory of modern and contemporary art. Picasso's early years displayed exceptional artistic talent, with realistic portraits and landscapes. ",https://www.pablopicasso.org/assets/img/picasso.jpg,Spain,1881,1973,Cubism,Les Demoiselles d'Avignon|Guernica|The Dream,https://en.wikipedia.org/wiki/Pablo_Picasso
rembrandt,Rembrandt,"Rembrandt Harmenszoon van Rijn, known simply as Rembrandt, was a 17th century Dutch painter, printmaker, and draftsman. He's considered one of Western art's greatest visual artists, renowned for his portraits, biblical scenes, and masterful use of light and shadow. His early work was theatrical and colorful, but his later paintings were more solemn and minimal. ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/250px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,Netherlands,1606,1669,Baroque,The Night Watch|Self-portraits,https://en.wikipedia.org/wiki/Rembrandt
paul-cézanne,Paul Cézanne,"Paul Cézanne was a French Post-Impressionist painter who bridged the gap between 19th century Impressionism and 20th century Cubism. His unique style, characterized by small brushstrokes and planes of color, is credited with launching Modernism. Cézanne associated with the Impressionists, but aimed to make Impressionism “solid and durable”. He used bold outlines and hatched brushstrokes of modulated color to depict light and form. ",https://upload.wikimedia.org/wikipedia/commons/c/c4/Paul-Cezanne.jpg,France,1839,1906,Post-Impressionism,Mont Sainte-Victoire|Still Life with Apples|The Large Bathers,https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne
joseph-mallord-william-turner,Joseph Mallord William Turner,"Joseph Mallord William Turner RA, known in his time as William Turner, was an English Romantic painter, printmaker and watercolourist. He is known for his expressive colouring, imaginative landscapes and turbulent, often violent marine paintings.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Joseph_Mallord_William_Turner_auto-retrato.jpg/500px-Joseph_Mallord_William_Turner_auto-retrato.jpg,British,1775,1851,Romanticism,"The Fighting Temeraire|Rain, Steam and Speed",https://en.wikipedia.org/wiki/J._M._W._Turner
edvard-munch,Edvard Munch,"Edvard Munch (1863-present) was a Norwegian painter and printmaker who played a pivotal role in the development of Expressionism. His work is known for its emotional intensity, symbolism, and exploration of human emotions like anxiety, isolation, and inner anguish. Munch's most famous work is The Scream (1893), an iconic image of modern anxiety that depicts a corpse-like figure with wide eyes, an open mouth, and hands covering their ears. ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7kDG32qIR-wXhquWyu_GpNXUb_TnDE22ZY16nY3oS4wQAYo198Ud0j_rFgMtkUQwh05_81gx6NNAFtFcw4j2HV5OnwFN5_Erv9lQ8OLk&s=10,Norway,1863,1944,Expressionism|Symbolism,The Scream,https://en.wikipedia.org/wiki/Edvard_Munch
françois-boucher,François Boucher,"François Boucher was a French painter, draughtsman and etcher, who worked in the Rococo style. Boucher is known for his idyllic and voluptuous paintings on classical themes, decorative allegories, and pastoral scenes. He was perhaps the most celebrated painter and decorative artist of the 18th century.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Boucher_par_Gustav_Lundberg_1741.jpg/500px-Boucher_par_Gustav_Lundberg_1741.jpg,France,1703,1770,Rococo,The Triumph of Venus|Diana Leaving the Bath|Madame de Pompadour,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Boucher
edgar-degas,Edgar Degas,"Edgar Degas was a French painter, sculptor, and printmaker who is considered a founder of Impressionism. Though he preferred to be called a ""Realist"" or ""Independent"", he exhibited with the Impressionists in Paris. Degas is known for his depictions of Parisian life, particularly dancers, entertainers, and women. His work is characterized by unusual perspectives, asymmetrical framing, and abstraction from Eastern imagery. ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Self-portrait_by_Edgar_Degas.jpg/500px-Self-portrait_by_Edgar_Degas.jpg,France,1834,1917,Impressionism,The Ballet Class,https://en.wikipedia.org/wiki/Edgar_Degas
jean-françois-millet,Jean-François Millet,"Jean-François Millet was a French artist and one of the founders of the Barbizon school in rural France. Millet is noted for his paintings of peasant farmers and can be categorized as part of the Realism art movement. Toward the end of his career, he became increasingly interested in painting pure landscapes.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Jean-Fran%C3%A7ois_Millet_by_Nadar%2C_Metropolitan_Museum_copy.jpg/500px-Jean-Fran%C3%A7ois_Millet_by_Nadar%2C_Metropolitan_Museum_copy.jpg,France,1814,1875,Realism|Barbizon School,The Gleaners|The Angelus|The Sower,https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Millet
édouard-manet,Édouard Manet,"Édouard Manet was a French modernist painter who bridged the gap between Realism and Impressionism. Born into an affluent Parisian family, Manet displayed early talent for drawing and caricature. After failing to enter the Naval College, he studied under Thomas Couture, but grew dissatisfied with conventional painting. Manet's paintings were controversial, particularly his depictions of the female nude in Le déjeuner sur l'herbe and Olympia. ",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg/250px-%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg,France,1832,1883,Impressionism,Olympia|Le Déjeuner sur l’herbe (The Luncheon on the Grass)|A Bar at the Folies-Bergère,https://en.wikipedia.org/wiki/%C3%89douard_Manet
paul-gauguin,Paul Gauguin,"Eugène Henri Paul Gauguin was a French painter, sculptor, writer, and printmaker who played a key role in the Symbolist and Post-Impressionist movements. He's best known for developing Synthetism, a post-Impressionist style, and for painting from imagination and feeling instead of classical perspective. His work influenced the development of Cubism and Expressionism, and inspired modern artists like Pablo Picasso and Henri Matisse. ",https://cdn.sanity.io/images/476nwnl9/production/8987634b5face39a7855baae33945205244421d5-1604x2048.jpg?auto=format&fit=crop&h=512&rect=715%2C202%2C831%2C831&w=512,France,1848,1903,Post-Impressionism,Where Do We Come From? What Are We? Where Are We Going?|Vision After the Sermon|The Yellow Christ,https://en.wikipedia.org/wiki/Paul_Gauguin
pierre-auguste-renoir,Pierre-Auguste Renoir,"Pierre-Auguste Renoir was a French artist and a founding member of the Impressionist movement. He was known for his soft, vibrantly colored landscapes and paintings of women, often celebrating the female figure and modern Parisian life. His work was characterized by a warmth of response to the world and a richness of feeling. Renoir's technique involved broken brushstrokes and bold combinations of complementary colors to capture the movement and light of his subjects. ",https://www.artwork-vault.co.uk/cdn/shop/files/foto-p-a-renoir_1.jpg?v=1684773514,France,1841,1919,Impressionism,Dance at Le Moulin de la Galette|Luncheon of the Boating Party|The Large Bathers,https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir
henri-matisse,Henri Matisse,"Henri Émile Benoît Matisse was a French artist, sculptor, and graphic designer who led the Fauvist movement around 1900. His work is known for its bold colors, expressive forms, and simplified female figures. Matisse's early exposure to textiles in Bohain, France, where he was raised, influenced his sense of color and pattern. He studied law before taking up painting under Symbolist Gustave Moreau. ",https://hips.hearstapps.com/hmg-prod/images/gettyimages-517318552.jpg,France,1869,1954,Fauvism,The Dance|Woman with a Hat|The Red Studio,https://en.wikipedia.org/wiki/Henri_Matisse
raphael,Raphael,"Raffaello Sanzio da Urbino, better known as Raphael, was an Italian painter and architect who epitomized the High Renaissance. His work is admired for its clarity, composition, and portrayal of human grandeur. Raphael's talent was evident early, and he was trained by his father and influenced by Perugino. He started his career in his native Marche and Florence, before becoming Rome's most sought-after artist. ",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Raffaello_Sanzio.jpg/250px-Raffaello_Sanzio.jpg,Italy,1483,1520,High Renaissance,The School of Athens|Sistine Madonna|The Transfiguration,https://en.wikipedia.org/wiki/Raphael
johannes-vermeer,Johannes Vermeer,"Johannes Vermeer was a Dutch painter and art dealer known for his depictions of 17th-century middle-class life. His 36 surviving works are celebrated for their purity of light and form, and his ability to create a calm, timeless atmosphere. Vermeer's paintings often feature rooms with tables, chairs, musical instruments, and maps, with light streaming in through a window. He was skilled at painting pearls, using few, precise brushstrokes. ",https://www.johannesvermeer.org/assets/img/vermeer.jpg,Netherlands,1632,1675,Dutch Golden Age,Girl with a Pearl Earring|The Milkmaid|View of Delft,https://en.wikipedia.org/wiki/Johannes_Vermeer
leonardo-da-vinci,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was a polymath of the High Renaissance, known for his paintings like the Mona Lisa and The Last Supper, but also an inventor, scientist, and architect. He was largely self-educated and filled notebooks with observations, theories, and inventions, including the helicopter, bicycle, and airplane. Though he conducted experiments and made scientific discoveries, he never published his ideas. ",https://hips.hearstapps.com/hmg-prod/images/portrait-of-leonardo-da-vinci-1452-1519-getty.jpg,Italy,1452,1519,High Renaissanc,Mona Lisa|The Last Supper|Vitruvian Man,https://en.wikipedia.org/wiki/Leonardo_da_Vinci
hans-memling,Hans Memling,"Hans Memling was a German-Flemish painter who worked in the tradition of Early Netherlandish painting. Born in the Middle Rhine region, he probably spent his childhood in Mainz. During his apprenticeship as a painter he moved to the Netherlands and spent time in the Brussels workshop of Rogier van der Weyden.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Hans_Memling_-_Portret_van_een_man.jpg/500px-Hans_Memling_-_Portret_van_een_man.jpg,Germany,1430,1494,Northern Renaissance,Diptych of Maarten van Nieuwenhove|The Last Judgment|Portrait of a Young Woman,https://en.wikipedia.org/wiki/Hans_Memling
berthe-morisot,Berthe Morisot,"Berthe Marie Pauline Morisot was a French painter, printmaker and a member of the circle of painters in Paris who became known as the Impressionists. In 1864, Morisot exhibited for the first time in the highly esteemed Salon de Paris, listed as a student of Joseph Guichard and Achille-Francois Oudinot.",https://www.christies.com/-/media/images/features/articles/2022/07/18-22/berthe-morisot/berthe-morisot-alamy-2fn2k6a.jpg?h=550&iar=0&w=880&rev=6037192d80674d6fab78d4e350c1bbe2&hash=f6c995aecef1108fa2aab225304672a9bb40cb99,France,1841,1895,Impressionism,The Cradle|Summer’s Day|Woman at Her Toilette,https://en.wikipedia.org/wiki/Berthe_Morisot
piet-mondrian,Piet Mondrian,"Pieter Cornelis Mondriaan was a Dutch painter and art theorist who played a key role in the development of modern abstract art. His mature works are known for their extreme formal purity, using primary colors, black, white, gray, straight lines, and right angles. Mondrian's style evolved throughout his life. He experimented with Cubism, pushing its geometric boundaries in works like Composition VII (1913).",https://upload.wikimedia.org/wikipedia/commons/8/83/Piet_Mondriaan.jpg,Netherlands,1872,1944,De Stijl,"Composition with Red, Blue, and Yellow|Broadway Boogie Woogie|Composition II in Red, Blue, and Yellow",https://en.wikipedia.org/wiki/Piet_Mondrian
john-singer-sargent,John Singer Sargent,"John Singer Sargent was an American artist and leading portraitist of his time, known for capturing the luxury of the Edwardian and Belle Époque eras. His work blended academic realism and impressionism, inspired by Old Masters like Diego Velázquez. Born in Florence to American parents, Sargent was educated in France and Germany and traveled extensively throughout his life. ",https://upload.wikimedia.org/wikipedia/commons/a/a5/John_Singer_Sargent_1903.jpg,United States,1856,1925,Impressionism|American Renaissance,Madame X,https://en.wikipedia.org/wiki/John_Singer_Sargent